203,1702,49,16.865,11.389
288,1845,49,19.964,13.31
410,3303,49,4.491,2.4767
686,406,49,8.549,6.1033
781,3539,49,10.597,7.3666
791,1693,49,9.619,6.7838
913,1920,49,9.018,7.5248
1151,3414,49,42.182,35.057
1253,276,49,28.325,22.927
1320,1140,49,19.426,8.3839
1651,1140,49,4.415,3.4933
1657,1652,49,13.962,7.9419
1703,2130,49,14.618,7.8409
1764,2911,49,46.19,33.002
1804,3536,49,6.223,5.2671
2034,1702,49,18.055,13.937
2078,1845,49,25.685,15.549
2179,1296,49,37.546,26.562
2258,920,49,17.086,6.7692
2540,1802,49,15.91,9.5111
2882,798,49,39.457,28.912
2977,1255,49,10.242,6.9622
3096,2185,49,31.655,21.451
3349,2272,49,13.042,11.452
